,lm_id,name,abbrev
0,LMGL03010006,TG(16:0/16:0/18:1(9Z)),TG 50:1
1,LMGP01020003,PC(O-16:0/18:1(9Z)),PC O-34:1
2,LMGP13010001,CDP-DG(12:0/12:0),CDP-DG 24:0
3,LMST01010009,"5,6beta-epoxy-cholesterol(d7)",
4,LMFA03020022,11-trans-LTE4,
5,LMFA03120035,7Z-punaglandin 3,
6,LMFA03120014,Iodovulone I,
7,LMFA03090003,Hepoxilin B3,FA 20:4;O2
8,LMFA01030006,beta-penteic acid,FA 5:1
9,LMFA01030046,12-tridecenoic acid,FA 13:1
10,LMFA01020167,3-ethyl-3-methyl-tridecanoic acid,FA 16:0
11,LMFA01030159,"11,14,17-eicosatrienoic acid",FA 20:3
12,LMFA01030007,Allyl acetic acid,FA 5:1
13,LMFA01040038,"methyl-10-hydroperoxy-8E,12Z,15Z-octadecatrienoate",FA 19:3;O2
14,LMFA01070012,"methyl 9,10-epoxy-12,15-octadecadienoate",FA 19:3;O
15,LMFA02000127,DL-9-hydroxy stearic acid,FA 18:0;O
16,LMFA03060047,"5,15-diHPETE",FA 20:4;O4
17,LMST04010113,Bitocholic acid,ST 24:1;O5
18,LMST04010283,,ST 24:4;O4
19,LMST04010346,,ST 24:3;O5
20,LMFA06000025,"4,6-heptadienal",FAL 7:2
21,LMFA05000055,7Z-hexadecen-1-ol,FOH 16:1
22,LMFA06000046,"2,6-nonadienal",FAL 9:2
23,LMST04030011,16-Deoxymyxinol,ST 27:0;O3
24,LMFA06000104,15-tetracosenal,FAL 24:1
25,LMST04030058,,ST 27:1;O4
26,LMST04030033,,ST 27:0;O4
27,LMFA06000072,2-dodecenal,FAL 12:1
28,LMST01040143,,ST 29:2;O
29,LMST04030133,,ST 27:3;O4
30,LMST04030095,,ST 27:1;O4
31,LMST03020239,2alpha-hydroxyvitamin D3 / 2alpha-hydroxycholecalciferol,
32,LMST03020334,(10E)-19-methylvitamin D3,
33,LMGP01010846,"PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",PC 40:6
34,LMGP01010721,PC(17:0/23:0),PC 40:0
35,LMGP01010927,"PC(18:2(6Z,9Z)/18:2(6Z,9Z))",PC 36:4
36,LMGP01011040,PC(20:1(13E)/22:0),PC 42:1
37,LMGP01020042,"PC(O-16:0/18:3(9Z,12Z,15Z))",PC O-34:3
38,LMGP01011219,PC(36:0/16:0),PC 52:0
39,LMFA01020202,9-methyl-hexadecanoic acid,FA 17:0
40,LMFA01030206,"3,5-decadienoic acid",FA 10:2
41,LMFA01030285,2Z-heptadecenoic acid,FA 17:1
42,LMFA01030413,14Z-tricosenoic acid,FA 23:1
43,LMFA01050185,4-hydroxy-pentadecanoic acid,FA 15:0;O
44,LMFA02000175,"4,14-dihydroxy-octadecanoic acid",FA 18:0;O2
45,LMFA01030418,16Z-pentacosenoic acid,FA 25:1
46,LMFA01030341,"5,8,11-octadecatrienoic acid",FA 18:3
47,LMFA01030373,"11Z,15Z-eicosadienoic acid",FA 20:2
48,LMFA01030454,8-octadecynoic acid,FA 18:2
49,LMFA01060139,10-oxo-docosanoic acid,FA 22:1;O
50,LMFA01030491,"3,9-hexadecadiynoic acid",FA 16:4
51,LMST01010092,24-hydroxy-cholesterol(d6),
52,LMSP0505AU00,dimeric Lex,
53,LMSP0505BM00,,
54,LMSP0505CD00,,
55,LMSP0505AB00,"X-hapten, SSEA-1, Lex-5",
56,LMSP0601BX00,GalNAc-GD1a(Neu5Ac/Neu5Gc),
57,LMSP0507AA00,,
58,LMGL02010039,"DG(17:1(9Z)/18:2(9Z,12Z)/0:0)[iso2]",DG 35:3
59,LMGL02010045,"DG(17:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",DG 35:4
60,LMGL02010071,"DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",DG 36:5
